"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Staphylea bumalda","Crossosomatales","Staphyleaceae","Staphylea","Staphylea bumalda","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",750,2.1,6.1,7,24,"shrub","Perennial",3.5,"yes"
"Staphylea trifolia","Ericales","Ericaceae","Staphylea","Staphylea trifolia","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",400,6.5,7,5,24,"shrub","Perennial",3.5,"yes"
"Stauntonia hexaPhylla","Ranunculales","Lardizabalaceae","Stauntonia","Stauntonia hexaphylla","Monoecious","monoecious","none",0,"Campanulate","actinomorphic",1500,15,15,5,76.3225333333333,"vine","Perennial",3.5,"yes"
"Stegolepsis angustata","Poales","Rapateaceae","Stegolepis","Stegolepis angustata","Hermaphrodite","partially_self_compatible","low",23,"Tube","actinomorphic",35,12,19.5,20,15.68,"herb","Perennial",0.6,"no"
"Steironema quadriflorum","Ericales","Primulaceae","Steironema","Steironema quadriflorum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,14.5,4,4.75,25,"herb","Perennial",0.56,"yes"
"Stellaria graminea","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria graminea","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",10,9.5,2,3,60,"herb","Perennial",0.3,"yes"
"Stellaria longifolia","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria longifolia","Hermaphrodite","self_compatible","low",15.2695,"Open","actinomorphic",20,9,1.1,1,60,"herb","Perennial",0.25,"yes"
"Stellaria longipes","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria longipes","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,9.1,2,2.25,60,"herb","Perennial",0.2,"yes"
"Stellaria palustris","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria palustris","Hermaphrodite","self_compatible","low",14.8731571428571,"Open","actinomorphic",3,16,3.2,3,60,"herb","Perennial",0.37,"yes"
"Stellaria uchiyamana","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria uchiyamana","Hermaphrodite","self_compatible","low",12.6294583333333,"Open","actinomorphic",15,10,2,0.75,60,"herb","Perennial",0.45,"yes"
"Stellaria alsine","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria uliginosa","Hermaphrodite","self_compatible","low",16.2536916666667,"Open","actinomorphic",10,6,2,0.75,60,"herb","Perennial",0.15,"yes"
"Stellaria yunnanensis","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria yunnanensis","Hermaphrodite","self_compatible","low",12.3703178571429,"Open","actinomorphic",40,10.5,2,4.5,60,"herb","Perennial",0.2,"yes"
"Stellera chamaejasme","Malvales","Thymelaeaceae","Stellera","Stellera chamaejasme","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",1000,6,18,3,31.12,"herb","Perennial",0.35,"yes"
"Stenactis annuus","Asterales","Asteraceae","Stenactis","Stenactis annua","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",10,31.12,8,2.2,200,"herb","Short lived",0.9,"yes"
"Stenanthium angustifolium","Liliales","Melanthiaceae","Stenanthium","Stenanthium gramineum","Hermaphrodite","self_compatible","low",13.0363,"Open","actinomorphic",150,15,7.5,0.6,21,"herb","Perennial",0.9,"yes"
"Stephanandra incisa","Rosales","Rosaceae","Stephanandra","Stephanandra incisa","Hermaphrodite","partially_self_compatible","low",12.8875651785714,"Open","actinomorphic",75,4.5,2,2,2,"shrub","Perennial",1.25,"yes"
"Stillingia lineata","Malpighiales","Euphorbiaceae","Stillingia","Stillingia lineata","Monoecious","monoecious","none",0,"Tube","actinomorphic",450,1,1,1,3,"shrub","Perennial",4.1,"no"
"Strophostyles helvola","Fabales","Fabaceae","Strophostyles","Strophostyles helvula","Hermaphrodite","self_compatible","low",14.0852,"Papilionaceous","zygomorphic",15,12.1,10.1,10,10,"vine","Short lived",2,"yes"
"Strophostyles pauciflora","Fabales","Fabaceae","Strophostyles","Strophostyles leiosperma","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",1,7,6,6,5.3,"vine","Short lived",0.9,"yes"
"Stylidium graminifolium","Asterales","Stylidiaceae","Stylidium","Stylidium graminifolium","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",25,10,7.5,5,117.6,"herb","Perennial",0.5,"yes"
"Stylosanthes biflora","Fabales","Fabaceae","Stylosanthes","Stylosanthes biflora","Hermaphrodite","self_compatible","low",15.5508333333333,"Papilionaceous","zygomorphic",10,8.1,9,9.5,2,"herb","Perennial",2.4,"yes"
"Stylosanthes hamata","Fabales","Fabaceae","Stylosanthes","Stylosanthes hamata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",5,4.5,4.5,4.5,2.5,"herb","Short lived",0.75,"yes"
"Succisa pratensis","Dipsacales","Caprifoliaceae","Succisa","Succisa pratensis","Dioecious","self_compatible","none",0,"Capitulum","actinomorphic",450,3.5,7.14041666666666,8,25.6839130952381,"herb","Perennial",0.65,"yes"
"Suriana maritima","Fabales","Surianaceae","Suriana","Suriana maritima","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",200,20,3,4,10,"shrub","Perennial",2.5,"yes"
"Swertia bimaculata","Gentianales","Gentianaceae","Swertia","Swertia bimaculata","Hermaphrodite","self_compatible","medium",36.4,"Open","actinomorphic",10,22.5,5,5,73.3,"herb","Short lived",1.15,"yes"
"Swertia forrestii","Gentianales","Gentianaceae","Swertia","Swertia forrestii","Hermaphrodite","self_compatible","low",15.5877571428571,"Open","actinomorphic",10,17.5,7.33622575757576,0.5,73.3,"herb","Perennial",0.225,"yes"
"Symphoricarpos orbicularis","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos orbicularis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",2646.25,2.5,4,1.5,2,"shrub","Perennial",1,"yes"
"Aster anomalus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum anomalus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,25,7,5,70,"herb","Perennial",1.2,"yes"
"Aster sagittifolius","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum cordifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,15.5,5,5,28.5,"herb","Perennial",0.7,"yes"
"Aster ericoides villosus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum ericoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,12,8.1,3.8,28.5,"herb","Perennial",0.5,"yes"
"Aster paniculatus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum lanceolatum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",150,28.1,8,5,28.5,"herb","Perennial",1.3,"yes"
"Aster lateriflorus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum lateriflorum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",50,12,4,5,30,"herb","Perennial",0.6,"yes"
"Aster novaeangliae","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum nova-angliciae","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,28,21.1,4,70,"herb","Perennial",0.75,"yes"
"Aster turbinellus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum turbinellum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,27.1,20.1,5,34.5,"herb","Perennial",0.68,"yes"
"Symplocos microcalyx","Ericales","Symplocaceae","Symplocos","Symplocos microcalyx","Hermaphrodite","self_incompatible","none",0,"Brush","actinomorphic",1000,10,6.806025,3,8,"shrub","Perennial",2,"yes"
"Symplocos chinensis","Ericales","Symplocaceae","Symplocos","Symplocos paniculata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",7000,9,4.37101666666667,3,8,"shrub","Perennial",2,"yes"
"Synqonanthus caulescens","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus caulescens","Hermaphrodite","self_compatible","low",13,"Capitulum","actinomorphic",10,2,1,0.5,2,"herb","Perennial",0.14,"no"
"Syzygium commersonii","Myrtales","Myrtaceae","Syzygium","Syzygium commersonii","Hermaphrodite","self_compatible","low",14.72719375,"Open","actinomorphic",304.421666666667,12.9489861111111,6.11166474358974,3.23706666666667,32,"shrub","Perennial",0.5,"yes"
"Syzygium coriaceum","Myrtales","Myrtaceae","Syzygium","Syzygium coriaceum","Hermaphrodite","self_compatible","low",15.9629104166667,"Open","actinomorphic",500,13.7885416666667,5.92367307692308,4.52501805555556,32,"shrub","Perennial",1.08798825757576,"yes"
"Syzygium glomeratum","Myrtales","Myrtaceae","Syzygium","Syzygium glomeratum","Hermaphrodite","self_compatible","low",13.0842576923077,"Brush","actinomorphic",1000,9.42401666666666,5.455775,1,15,"tree","Perennial",5,"yes"
"Syzygium jambos","Myrtales","Myrtaceae","Syzygium","Syzygium jambos","Hermaphrodite","self_compatible","medium",72.5,"Brush","actinomorphic",1000,75,75,40,60,"tree","Perennial",9.5,"yes"
"Syzygium mauritianum","Myrtales","Myrtaceae","Syzygium","Syzygium mauritianum","Hermaphrodite","self_compatible","low",13,"Brush","actinomorphic",1658.11666666667,19.1,20,15.25,32,"tree","Perennial",4.5,"yes"
"Syzygium petrinese","Myrtales","Myrtaceae","Syzygium","Syzygium petrinense","Hermaphrodite","self_compatible","low",13.6120076923077,"Brush","actinomorphic",1353.76666666667,11.6419333333333,5.91058333333333,4.93209722222222,32,"shrub","Perennial",2.534625,"yes"
"Syzygium venosum","Myrtales","Myrtaceae","Syzygium","Syzygium venosum","Hermaphrodite","self_compatible","low",12.5456576923077,"Brush","actinomorphic",2500,16,11.1935238095238,12.5,18,"tree","Perennial",4.5,"yes"
"Syzygium wrightii","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",1000,3.2,10,13,35,"tree","Perennial",17,"yes"
"Tabernaemontana persicarifolia","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana persicarifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",435.083333333333,11.3566061507936,11.0680111111111,9.391125,80,"shrub","Perennial",1.83048828947368,"yes"
"Taenidia integerrima","Apiales","Apiaceae","Taenidia","Taenidia integerrima","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",250,3,3,2,1.1,"herb","Perennial",0.6,"yes"
"Talinum triangulare","Caryophyllales","Talinaceae","Talinum","Talinum fruticosum","Hermaphrodite","self_compatible","high",94,"Open","actinomorphic",15,20,7,1.2,50,"herb","Perennial",0.75,"yes"
"Tamarindus indica","Fabales","Fabaceae","Tamarindus","Tamarindus indica","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",5000,20,20,5,14,"tree","Perennial",19.1,"yes"
"Tambourissa peltata","Laurales","Monimiaceae","Tambourissa","Tambourissa peltata","Dioecious","dioecious","none",0,"Open","zygomorphic",25,15.5,8,0.4,450,"tree","Perennial",13.5,"no"
"Taraxacum arctogenum","Asterales","Asteraceae","Taraxacum","Taraxacum arctogenum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,22.5,19,10,45,"herb","Perennial",0.25,"yes"
"Taraxacum vulgare","Asterales","Asteraceae","Taraxacum","Taraxacum campylodes","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,29.1,8.5,12,45,"herb","Perennial",0.15,"yes"
"Taraxacum mongolicum","Asterales","Asteraceae","Taraxacum","Taraxacum mongolicum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,32.5,9.80512053429027,6,45,"herb","Perennial",0.15,"yes"
"Taraxacum phymatocarpum","Asterales","Asteraceae","Taraxacum","Taraxacum phymatocarpum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,22.5,15.1,10,45,"herb","Perennial",0.165,"yes"
"Tephrosia virginiana","Fabales","Fabaceae","Tephrosia","Tephrosia virginiana","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",15,17.5,17.5,9.5,8,"herb","Perennial",0.45,"yes"
"Ternstroemia crassifolia","Ericales","Pentaphylacaceae","Ternstroemia","Ternstroemia crassifolia","Monoecious","partially_self_compatible","low",1.6,"Open","actinomorphic",13390.075,15,10,0.5,3.12,"tree","Perennial",10.7884,"yes"
"Euodia meliifolia","Sapindales","Rutaceae","Tetradium","Tetradium glabrifolium","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2500,3,3,0.5,9,"tree","Perennial",12.5,"yes"
"Tetramerium nervosum","Lamiales","Acanthaceae","Tetramerium","Tetramerium nervosum","Hermaphrodite","self_compatible","medium",54.2,"Tube","zygomorphic",10,11,14.1,14,4,"herb","Perennial",0.15,"yes"
"Teucrium canadense","Lamiales","Lamiaceae","Teucrium","Teucrium canadense","Hermaphrodite","self_compatible","low",10.8579,"Open","zygomorphic",40,3.5,8,15,4,"herb","Perennial",0.5,"yes"
"Teucrium fruticans","Lamiales","Lamiaceae","Teucrium","Teucrium fruticans","Hermaphrodite","partially_self_compatible","low",11.5447,"Open","zygomorphic",200,9,19.1,22,4,"shrub","Perennial",1.25,"yes"
"Thalia geniculata","Zingiberales","Marantaceae","Thalia","Thalia geniculata","Hermaphrodite","self_compatible","low",14.0671666666667,"Open","zygomorphic",50,5,9.5,4,3,"herb","Perennial",1.75,"yes"
"Thalictrum dasycarpum","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum dasycarpum","Dioecious","dioecious","none",0,"Brush","actinomorphic",650,3,5,4,12,"shrub","Perennial",1.2,"no"
"Thalictrum delavayi","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum delavayi","Hermaphrodite","self_compatible","low",14.4055166666667,"Open","actinomorphic",300,19.1,2.1,4,18.5,"herb","Perennial",1.3,"no"
"Thalictrum rostellatum","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum rostellatum","Hermaphrodite","self_compatible","low",13.8690166666667,"Open","actinomorphic",150,5,1,3,5.5,"herb","Perennial",0.5,"no"
"Thapsia villosa","Apiales","Apiaceae","Thapsia","Thapsia villosa","Monoecious","self_compatible","low",13.714425,"Open","actinomorphic",250,10,2,0.5,1,"herb","Perennial",1,"yes"
"Thaspium aureum atropurpurem","Apiales","Apiaceae","Thaspium","Thaspium trifoliatum","Hermaphrodite","partially_self_compatible","low",21.25,"Open","actinomorphic",150,2.5,1,1.42,2,"herb","Perennial",0.6,"yes"
"Thespesia populnea","Malvales","Malvaceae","Thespesia","Thespesia populnea","Hermaphrodite","self_compatible","low",12.0543833333333,"Campanulate","actinomorphic",1000,60,60,4,22.5,"tree","Perennial",7.5,"yes"
"Thlaspi arvense","Brassicales","Brassicaceae","Thlaspi","Thlaspi arvense","Hermaphrodite","partially_self_compatible","medium",40,"Open","actinomorphic",150,5,5.21737083333334,0.2,12,"herb","Short lived",0.3,"yes"
"Thymelaea hirusta","Malvales","Thymelaeaceae","Thymelaea","Thymelaea hirsuta","Dioecious","self_compatible","low",13,"Campanulate","actinomorphic",400,3.75,2.5,0.25,1,"shrub","Perennial",1.5,"yes"
"Thymophylla_pentachaeta","Asterales","Asteraceae","Thymophylla","Thymophylla pentachaeta","Hermaphrodite","self_compatible","low",14.1851,"Open","actinomorphic",10,8.5,5.5,3,120,"herb","Perennial",0.2,"yes"
"Thymus mastichina","Lamiales","Lamiaceae","Thymus","Thymus mastichina","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,3,14,20,4,"shrub","Perennial",0.4,"yes"
"Tibetia himalaica","Fabales","Fabaceae","Tibetia","Tibetia himalaica","Hermaphrodite","self_compatible","low",17.5820904761905,"Papilionaceous","zygomorphic",1,8,2.5,1,83.1292636363636,"herb","Perennial",0.70625,"yes"
"Tibouchina fraterna","Myrtales","Melastomataceae","Tibouchina","Tibouchina fraterna","Hermaphrodite","self_compatible","low",0,"Open","actinomorphic",150,30,5,15,78.77,"shrub","Perennial",1.97739583333333,"no"
"Tilia americana","Malvales","Malvaceae","Tilia","Tilia americana","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5000,12,11,5,10,"tree","Perennial",30,"yes"
"Tillandsia didisticha","Poales","Bromeliaceae","Tillandsia","Tillandsia didisticha","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10,4,17.5,8.1,131,"herb","Perennial",0.15,"yes"
"Timonius flavescens","Gentianales","Rubiaceae","Timonius","Timonius sechellensis","Dioecious","dioecious","none",0,"Tube","actinomorphic",100,3,6.5,6,4,"tree","Perennial",6,"yes"
"Tiquilia darwinii","Boraginales","Boraginaceae","Tiquilia","Tiquilia darwinii","Hermaphrodite","self_compatible","low",16.8922,"Tube","actinomorphic",30,1.5,1.5,0.5,4,"herb","Perennial",0.1,"yes"
"Tiquilia fusca","Boraginales","Boraginaceae","Tiquilia","Tiquilia fusca","Hermaphrodite","self_compatible","low",16.9672,"Tube","actinomorphic",30,1.5,1.5,0.5,4,"herb","Perennial",0.1,"yes"
"Tococa nitens","Myrtales","Melastomataceae","Tococa","Tococa nitens","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1000,22,5,12.1,239.83,"shrub","Perennial",3.25,"no"
"Toddalia asiatica","Sapindales","Rutaceae","Toddalia","Toddalia asiatica","Dioecious","dioecious","none",0,"Open","actinomorphic",750,3.1,1,2,2,"vine","Perennial",8.5,"no"
"Torilis japonica","Apiales","Apiaceae","Torilis","Torilis japonica","Hermaphrodite","self_compatible","low",19.62715,"Open","zygomorphic",80,5,1,0.1,4,"herb","Short lived",0.475,"yes"
"Tournefortia psilostachya","Boraginales","Boraginaceae","Tournefortia","Tournefortia psilostachya","Hermaphrodite","self_compatible","low",24.6,"Tube","actinomorphic",2484.6625,5,5,1,4,"tree","Perennial",0.3,"yes"
"Tournefortia pubescens","Boraginales","Boraginaceae","Tournefortia","Tournefortia pubescens","Hermaphrodite","self_compatible","low",9.7,"Tube","actinomorphic",500,3.26,3.91,1,3.1,"shrub","Perennial",2.5,"yes"
"Tournefortia rufo-sericea","Boraginales","Boraginaceae","Tournefortia","Tournefortia rufo-sericea","Hermaphrodite","self_compatible","high",80,"Tube","actinomorphic",667.151231060606,4,5,1,4,"shrub","Perennial",1.5,"yes"
"Rhus toxicodendron","Sapindales","Anacardiaceae","Toxicodendron","Toxicodendron pubescens","Hermaphrodite","self_compatible","low",13.16415,"Open","actinomorphic",75,2.1,0.6,0.5,1,"shrub","Perennial",0.75,"yes"
"Tradescantia pilosa","Commelinales","Commelinaceae","Tradescantia","Tradescantia subaspera","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",2,25,1.5,4,6,"herb","Perennial",0.675,"no"
"Tradescantia brevicaulis","Commelinales","Commelinaceae","Tradescantia","Tradescantia virginiana","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3,35,10,3,6,"herb","Perennial",0.15,"no"
"Trema orientalis","Rosales","Cannabaceae","Trema","Trema orientalis","Dioecious","dioecious","none",0,"Open","actinomorphic",10708.0719642857,3.5,3.5,2.1,1,"tree","Perennial",7.5,"no"
"Tribulus cistoides","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus cistoides","Hermaphrodite","self_compatible","medium",36,"Open","actinomorphic",30,25,0.5,4,17.5,"herb","Short lived",2.8,"yes"
"Trifolium arvense","Fabales","Fabaceae","Trifolium","Trifolium arvense","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",100,2,5,4,4,"herb","Short lived",0.25,"yes"
"Trifolium campestre","Fabales","Fabaceae","Trifolium","Trifolium campestre","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",150,3,4.75,1,4,"herb","Short lived",0.15,"no"
"Trifolium dubium","Fabales","Fabaceae","Trifolium","Trifolium dubium","Hermaphrodite","self_compatible","high",100,"Papilionaceous","actinomorphic",100,8.5,8.5,1,2,"herb","Short lived",0.27,"no"
